pessoa_id,idade,salario_anual,situacao_moradia,tempo_de_trabalho,motivo_do_emprestimo,pontuacao,valor_emprestimo,taxa_de_juros,possibilidade_de_inadimplencia,renda_percentual,inadimplente,tempo_solicitacao
meCro5sz-9APN,29,58800,Mortgage,NULL,Venture,B,11400,10.99,0,0.19,N,9
EYl5jXSG-IZnt,38,22000,Rent,2,Venture,C,4000,12.68,0,0.18,Y,12
DgksRj5l-AbHN,27,40000,Rent,2,Personal,B,6000,NULL,0,0.15,N,9
ZmBGqHYX-xenz,36,27600,Rent,0,Education,B,1000,11.49,0,0.04,N,12
Y5o1Jpfb-5JeX,25,125000,Mortgage,1,Medical,C,30000,14.27,0,0.24,N,4
eAKXmmZH-KxFI,32,106000,Mortgage,3,Medical,A,10000,NULL,0,0.09,N,7
UWwoErmS-Xr2p,23,42000,Rent,7,Education,B,6025,9.63,0,0.14,N,4
Zr07dn1i-vhDa,38,62000,Rent,3,Debtconsolidation,B,12000,NULL,0,0.19,N,16
6fvd1ldQ-bI5R,22,36000,Mortgage,6,Medical,B,1000,9.99,0,0.03,N,3
caMLh5nx-nBDu,28,25000,Rent,0,Homeimprovement,F,5175,18.43,1,0.21,Y,6
IXG0H6Ez-DiI9,29,60500,Rent,13,Venture,C,3000,13.61,0,0.05,N,9
czJq5tvC-Rs6f,30,61200,Mortgage,NULL,Education,A,8000,6.62,0,0.13,N,8
g9Mvq57N-lNJZ,26,22406,Rent,5,Personal,A,2500,6.76,1,0.11,N,4
4AilyJeE-TccX,23,30000,Rent,7,Debtconsolidation,B,3000,12.69,1,0.1,N,4
ioJc1Xgw-YREJ,33,33996,Mortgage,4,Personal,A,10000,NULL,0,0.29,N,10
ITokZ5hq-Uwhf,30,90000,Mortgage,0,Homeimprovement,C,5000,12.87,0,0.06,Y,10
DjsmRtDC-2bhX,26,51996,Mortgage,2,Debtconsolidation,E,6500,15.68,1,0.13,N,3
LzhIe3hI-vciO,25,42900,Rent,9,Medical,A,9000,6.76,0,0.21,N,4
T7rdUzCg-mapv,23,67000,Rent,0,Medical,B,20000,11.11,0,0.3,N,2
4dBgF6pe-dP8Q,23,68500,Mortgage,7,Venture,C,4200,11.66,0,0.06,N,3
P3C6tJL7-r79N,24,45204,Rent,0,Medical,A,12000,7.51,0,0.27,N,4
RkDvHUaM-7SrQ,24,62500,Rent,5,Education,A,11500,5.79,0,0.18,N,3
RZtKZw7h-C5Bk,24,79992,Rent,0,Debtconsolidation,B,7500,10.71,0,0.09,N,4
N7qfJxyx-EwDs,31,158000,Rent,8,Debtconsolidation,D,10200,15.99,1,0.06,Y,7
k6PFhK7p-NWQE,26,80000,Mortgage,10,Personal,B,25000,10.62,0,0.31,N,4
FRmMcPYO-1tAG,22,60000,Mortgage,6,Debtconsolidation,A,10000,8.9,0,0.17,N,3
rfcd9WGI-Cfcc,24,66000,Rent,2,Venture,B,7000,11.49,0,0.11,N,3
K0AZIihi-UE5p,26,27138,Mortgage,10,Debtconsolidation,B,2750,9.63,0,0.1,N,2
zzp5d66Z-RXzF,28,93600,Rent,1,Homeimprovement,B,5600,11.99,0,0.06,N,10
El1mQLiY-XQpK,26,71046,Mortgage,10,Debtconsolidation,B,6500,10.99,0,0.09,N,4
bJFUTOrI-cTfM,35,48000,Rent,7,Medical,A,8250,7.51,0,0.17,N,6
Ys5rJiJn-F0lk,22,42500,Rent,0,Medical,E,1500,17.19,1,0.04,Y,4
LKLZDYu8-ODfU,26,74999,Rent,4,Homeimprovement,D,16000,17.27,0,0.21,Y,4
TkAwOwYz-ewYN,25,105000,Mortgage,3,Venture,A,16000,8.49,0,0.15,N,4
Ek9K739d-y0P7,21,30000,Rent,5,Education,A,8400,6.03,0,0.28,N,3
fjBsjBy7-sx6Z,23,75000,Mortgage,7,Venture,B,5400,12.69,0,0.07,N,2
REInTySj-R1hk,31,118320,Rent,1,Homeimprovement,B,24250,12.53,0,0.2,N,5
gWuqMptb-IAUf,29,200000,Mortgage,4,Medical,A,12000,7.88,0,0.06,N,7
WZxfKHBK-lKGE,27,17000,Rent,6,Personal,B,2875,11.71,1,0.17,N,10
ebvWrqet-AkHw,23,24000,Rent,0,Education,C,2000,12.61,0,0.08,Y,3
vifey4Ji-1ppD,27,49000,Mortgage,11,Medical,B,8500,10.59,0,0.17,N,6
TIYXWb0B-ip4m,26,90000,Rent,8,Personal,C,7000,13.49,0,0.08,Y,3
42gut6HO-XFqq,29,32108,Rent,4,,,15000,7.88,1,0.37,N,5
S8TGOvGB-2eA6,35,88020,Rent,6,Personal,D,6000,15.37,0,0.07,Y,8
aTFJaGeT-P7oJ,28,27050,Rent,NULL,Venture,C,8500,15.96,1,0.31,Y,10
SeNcBcQr-KTTm,22,65000,Rent,6,Personal,A,16000,7.88,0,0.25,N,3
zBW9r0vL-mIZp,33,78000,Rent,7,Homeimprovement,C,10000,13.06,1,0.13,Y,9
mF77zvPm-3bif,24,71040,Rent,1,Venture,A,13100,7.49,0,0.18,N,2
Az1bC2dZ-Xf4H,24,125000,Rent,8,Venture,B,16800,12.42,0,0.13,N,4
aAFNGlGF-Htaj,32,128004,Own,0,Venture,A,11000,NULL,0,0.09,N,8
GpYlfI6I-E5PZ,25,42000,Rent,2,Education,A,12000,7.9,0,0.29,N,4
hicPaXuE-vhrN,30,144997,Mortgage,14,Personal,B,25000,11.83,0,0.17,N,5
XdmigAAj-2jd0,23,88000,Mortgage,7,Medical,A,10000,8.94,0,0.11,N,2
eBvh8eip-6Gdd,21,45000,Rent,4,Medical,A,4000,7.9,0,0.09,N,3
ZwHv2KJD-xLkl,32,65000,Rent,3,Homeimprovement,A,3625,6.03,0,0.06,N,8
ysAUfgJy-6xeF,27,130000,Own,12,Venture,B,21000,NULL,0,0.16,N,9
izgWxkzf-92W5,26,88500,Mortgage,10,Education,A,10000,8.59,0,0.11,N,4
4wqNaDPG-63jC,24,44700,Own,8,Medical,D,14400,15.37,0,0.32,Y,4
YYvjfK8v-CbGk,24,110000,Mortgage,7,Debtconsolidation,A,12000,8.94,0,0.11,N,2
bxDGbg9o-IGqA,28,240000,Rent,2,Medical,B,6000,11.46,0,0.03,N,6
s7sKez8u-FHY1,22,20000,Rent,1,Debtconsolidation,B,6500,10.99,1,0.33,N,2
QtstZZzK-0W0k,24,30000,Rent,2,Debtconsolidation,A,14000,7.9,1,0.47,N,2
caH4GGHS-vkCx,29,47000,Rent,2,Education,B,7000,10.36,0,0.15,N,7
ZvgYQM9T-CODj,23,32000,Mortgage,4,Education,A,2000,5.99,0,0.06,N,2
NebSFQQe-GZox,29,88000,Rent,6,Education,C,12000,12.53,0,0.14,N,5
R56tbQHJ-viro,26,48000,Rent,7,Personal,A,9000,8.94,0,0.19,N,3
2Ocz3iG8-lwlr,26,88596,Rent,3,Personal,B,24000,11.58,0,0.27,N,3
ePGnRsZ9-Xkxv,22,80000,Rent,3,Personal,D,33950,14.54,1,0.42,Y,4
DJ3MU5XH-7yqK,26,61200,Rent,9,Personal,B,3200,9.91,0,0.05,N,2
3YCz8B0k-4mkh,35,29400,Rent,0,Education,B,6150,12.21,0,0.21,N,10
c30bjIls-ChzI,34,62000,Mortgage,18,Venture,B,28000,11.71,0,0.45,N,7
CKd5LBO2-PzU5,55,50000,Rent,2,Homeimprovement,A,20000,7.51,1,0.4,N,30
9P5eWZ3k-SLy3,24,50000,Rent,1,Medical,A,6000,5.79,0,0.12,N,4
3UuMz8iQ-yaxP,32,140304,Mortgage,8,Medical,A,20000,6.91,0,0.14,N,10
11wCzZPt-7WX4,32,60000,Rent,6,Medical,C,6000,13.98,0,0.1,N,5
0PAPNDD3-sNbr,24,66996,Mortgage,5,Education,B,10000,9.62,0,0.15,N,2
9oXdgps0-JS4I,25,26000,Rent,4,Medical,C,8000,12.87,1,0.31,Y,3
tWxcLv34-MswQ,33,38400,Mortgage,0,Education,B,10000,9.91,0,0.26,N,8
wIo4DaZU-PXCL,40,133000,Rent,2,Education,D,35000,14.54,1,0.26,Y,17
c23mpsxk-15Mg,22,11760,Rent,0,Venture,C,1000,13.98,0,0.09,N,4
PawR6lUB-B5wW,NULL,52000,Mortgage,6,Debtconsolidation,D,NULL,12.42,0,0.26,N,8
A4SgY4te-5pqB,29,74000,Mortgage,0,Homeimprovement,A,9000,7.51,0,0.12,N,10
cp8UO1t2-c78t,25,48996,Rent,9,Education,A,11000,7.88,0,0.22,N,2
lHgTKClK-RweS,25,39000,Rent,1,Homeimprovement,E,16050,17.14,1,0.41,Y,3
ew9682gL-SbA1,32,60000,Mortgage,11,Personal,C,7500,11.03,0,0.13,Y,10
vEWriw6w-KZSa,25,55000,Mortgage,2,Debtconsolidation,A,8000,6.03,0,0.15,N,4
FW2AN4KR-FLh8,38,35000,Own,5,Education,D,1800,16.49,0,0.05,Y,12
RoGNi4qL-mXIn,33,50000,Mortgage,7,Homeimprovement,B,10000,9.99,0,0.2,N,7
oW3v4S3n-7Wnr,25,32000,Rent,3,Venture,C,10000,12.99,1,0.31,Y,2
dHjHM1SS-NlGE,25,52500,Mortgage,9,Homeimprovement,A,7000,5.79,0,0.13,N,4
oIUobt4g-zjvH,29,35000,Own,NULL,Homeimprovement,A,8300,7.9,0,0.24,N,7
tsHrLUn7-yznB,27,84000,Rent,0,Medical,B,16000,12.21,0,0.19,N,10
DoyI6xRQ-2vbh,28,60000,Mortgage,12,Debtconsolidation,C,16800,12.61,0,0.28,Y,7
Lal5xfaG-yCLN,42,32000,Rent,5,Debtconsolidation,B,10000,11.71,1,0.31,N,14
zLpvnSQl-Wmix,22,38000,Rent,2,Education,C,1500,13.22,0,0.04,Y,2
YTDetbbY-mRnO,24,74700,Mortgage,7,Education,A,12000,5.42,0,0.16,N,4
BGD7zlKu-fFz8,33,36000,Rent,5,Education,B,12200,9.99,1,0.34,N,6
PwEiwqnM-8oUZ,22,130000,Mortgage,2,Education,B,13000,11.14,0,0.1,N,3
z74mO8Kn-fy8R,24,NULL,Mortgage,8,Medical,A,NULL,5.79,0,0.12,N,9
zxtLCrJ2-6HLk,23,27600,Rent,2,Debtconsolidation,C,2000,13.99,1,0.07,N,3
uYOSnbT4-TI8G,37,54996,Mortgage,5,Homeimprovement,A,7000,6.92,0,0.13,N,13
nliL1wKe-6NFS,25,60000,,6,Medical,,4400,6.76,0,0.06,N,4
AXWIZeK2-C28P,30,55000,Mortgage,1,Personal,B,6500,10.99,0,0.12,N,9
Y5QuQemK-BctX,23,140000,Rent,7,Venture,A,9000,7.14,0,0.06,N,2
Kz2fxuBS-rBWw,25,13440,Rent,3,Medical,A,6000,7.49,1,0.45,N,3
BAOYgg91-Dmlx,23,20664,Rent,4,Education,C,4550,13.72,0,0.22,Y,3
vwoc5ARi-kE4J,24,36000,Rent,4,Venture,B,18200,8.88,1,0.51,N,4
pxrGyrgz-t9fK,25,45000,Mortgage,1,Venture,A,3000,6.62,0,0.07,N,2
qEidpiOq-rzXQ,31,73000,Rent,1,Homeimprovement,D,6000,9.99,NULL,0.1,,2
BSdJsFZG-nEv9,24,35400,Rent,8,Venture,A,12000,7.29,1,0.34,N,4
XZMB1lOZ-vfAn,32,50880,Rent,6,Personal,F,15000,20.25,0,0.29,Y,5
CseU73qi-Kdjs,26,120000,Mortgage,10,Medical,A,10000,5.42,0,0.08,N,2
dKlBay59-WMoQ,27,49000,Rent,3,Personal,D,3000,14.96,0,0.06,Y,8
9Wx5ZHyw-kGvO,34,67392,Mortgage,0,Debtconsolidation,C,15000,13.85,1,0.22,Y,8
mskQzQEM-A6Yk,23,57355,Mortgage,5,Medical,C,25000,13.49,1,0.37,N,3
yv224BlI-k5r8,34,120000,Mortgage,2,Education,B,4200,12.69,0,0.04,N,6
uMELej3K-KRT0,33,96000,Mortgage,0,Debtconsolidation,C,8000,13.72,0,0.08,N,5
kCNxO2fF-kBeo,59,83768,Mortgage,15,Personal,B,12000,11.86,0,0.14,N,18
7zARg6yb-RuKS,27,20000,Rent,0,Personal,D,6500,15.65,1,0.33,N,8
eTi7dOJ7-j1Y1,25,134748,Mortgage,4,Homeimprovement,B,25000,10.75,0,0.19,N,3
BCl1MXt2-miuF,29,68000,Other,0,Venture,B,16000,11.89,0,0.24,N,7
YGtXLNuM-I9tl,24,95000,Own,8,Education,E,25000,16.32,0,0.26,N,3
P3AcnScv-qc6T,30,102000,Mortgage,4,Education,A,12250,7.66,0,0.12,N,8
cslsE3fb-nT9N,24,51996,Mortgage,0,Personal,B,12000,10.74,0,0.23,N,3
ef5bZBUl-bHLC,28,79000,Mortgage,4,Venture,D,2000,16,0,0.03,Y,10
7zOhBYON-HYEg,27,63844,Mortgage,11,Debtconsolidation,A,20000,6.54,0,0.31,N,5
sjIIuW7c-6485,28,77000,Mortgage,4,Debtconsolidation,B,2600,11.71,0,0.03,N,5
sGJpf5nO-4d6D,27,11808,Rent,NULL,Medical,D,1000,14.91,1,0.08,N,8
ukrZdfYL-Ox1q,33,70116,Mortgage,NULL,Personal,B,5000,11.71,0,0.07,N,6
SljY3IGF-IRz5,21,30000,Rent,1,Homeimprovement,D,2400,17.19,1,0.08,Y,2
fu4fcLqg-U0pm,42,68000,Rent,3,Medical,B,8500,10.37,0,0.13,N,12
lccsynye-g88G,25,64800,Rent,5,Homeimprovement,A,10000,7.88,0,0.15,N,4
TReIRLXL-NX38,23,132000,Mortgage,3,Debtconsolidation,A,9600,7.14,0,0.07,N,3
ewMLyyRt-HkJr,27,120000,Mortgage,4,Venture,A,8400,7.14,0,0.07,N,8
422EFbSF-tk07,21,87500,Mortgage,5,Education,C,25000,13.98,0,0.29,Y,3
zq3wev7F-BZkn,23,82000,Rent,7,Medical,A,18000,NULL,0,0.22,N,2
gjiZJL8m-bS1N,23,45000,Rent,7,Medical,E,16000,16.45,1,0.36,Y,4
B9RrHdhW-qcHe,30,116500,Mortgage,9,Debtconsolidation,C,15000,14.79,0,0.13,Y,7
lUsoFBbq-j5zr,24,36000,Rent,6,Medical,E,15250,15.95,1,0.42,Y,2
GJWPva8J-gNJL,53,34000,Mortgage,0,Medical,B,10000,10.39,1,0.29,N,30
KQ3Nk9c2-3USb,23,59000,Rent,7,Education,C,20000,12.29,1,0.34,N,2
Oud38t3b-TycC,37,75000,Mortgage,0,Venture,C,17000,11.78,0,0.23,N,11
PKqxUWwQ-nRzB,28,135000,Rent,5,Venture,B,4000,12.42,0,0.03,N,5
GZG9UXBH-aXzC,38,60000,Mortgage,9,Education,E,16000,16.35,0,0.27,N,17
H29u8MBF-s4W0,26,34000,Rent,2,Personal,D,12000,14.96,1,0.35,N,3
Wow72pfO-gnKn,24,47211,Own,8,Homeimprovement,B,10000,11.83,0,0.21,N,3
tQ9zIcE9-w7GT,25,82560,Rent,6,Debtconsolidation,A,4500,7.42,0,0.05,N,4
dJdcgKaf-uMuh,25,72000,Own,8,Education,A,18000,7.66,0,0.25,N,3
N3LLrod9-LkEp,24,51500,Rent,6,Venture,B,20000,12.21,1,0.39,N,4
5UJsU9jZ-6G0B,31,75797,Rent,8,Medical,C,5600,13.22,0,0.07,Y,8
8Uu3zzCE-dMlx,35,200000,Mortgage,0,Homeimprovement,B,18000,10.99,0,0.09,N,10
reOnLR02-Ksgw,28,60000,Mortgage,13,Venture,A,8650,8.9,0,0.14,N,10
qPDPOI9C-aQJ0,43,50000,Rent,5,Homeimprovement,B,9500,9.88,0,0.19,N,15
DLt6nvsX-gOiS,22,32000,Mortgage,2,Medical,C,7500,NULL,0,0.23,Y,3
G8xSKitx-NrZq,33,61000,Rent,0,Homeimprovement,B,6000,10.39,0,0.1,N,9
mCuUccFD-j5zW,27,136000,Mortgage,3,Personal,A,5000,6.17,0,0.04,N,10
mkUnw7rd-UfTP,26,52000,Mortgage,3,Homeimprovement,D,2500,14.59,0,0.05,N,4
O1pEq23j-jhT6,25,89100,Rent,9,Venture,C,2000,13.49,0,0.02,Y,3
EolvIw8L-uXhq,22,78000,Mortgage,6,Medical,A,7750,7.51,0,0.1,N,4
hCoC664G-Udch,26,30000,Rent,1,Personal,E,7500,14.75,1,0.25,N,3
P2U8fvbA-OlUD,38,42000,Own,2,Education,B,5600,9.99,0,0.13,N,14
sxe8uiHJ-cYzJ,26,110000,Mortgage,10,Venture,C,8000,14.35,0,0.07,Y,2
AX98ZPAq-h1Pt,27,110000,Mortgage,4,Personal,A,2500,8.07,0,0.02,N,6
wSNSCitL-DuTL,31,13000,Rent,6,Homeimprovement,B,7000,9.62,1,0.54,N,9
DIPtUMmO-yqk7,23,35000,Rent,2,Homeimprovement,B,4000,12.18,1,0.11,N,4
oaD7R3ft-DQU7,38,30000,Rent,0,Education,B,5600,9.99,1,0.19,N,15
Se0y4bBK-u6xq,38,40000,Mortgage,5,,A,15000,13.79,0,NULL,Y,2
g6W3KNDa-j3Np,24,52000,Rent,2,Medical,A,5600,7.29,0,0.11,N,2
QsGerfwK-Wwop,26,65000,Rent,0,Venture,C,17000,13.47,0,0.26,N,2
797src1e-d6fu,21,30000,Mortgage,0,Medical,A,7125,7.51,1,0.24,N,4
W297WZxE-xMF5,29,120000,Rent,1,Venture,C,17500,12.87,0,0.15,Y,8
C676oeKZ-bwMn,26,40000,Rent,3,Medical,A,21000,6.54,1,0.53,N,4
eCivtjQb-31p7,24,30000,Rent,4,Debtconsolidation,E,3000,19.29,1,0.1,Y,2
rsFPDNCl-vEOu,23,85000,Mortgage,7,Education,C,20000,13.22,0,0.24,Y,4
SP1RTUfs-WLAJ,25,26004,Mortgage,3,Education,B,10000,9.91,0,0.38,N,2
c8IeWmmE-0eQy,28,90000,Rent,5,Debtconsolidation,C,7000,12.87,0,0.08,Y,10
iY0KtjeG-7R5G,23,56000,Rent,8,Medical,G,21600,21.21,1,0.39,Y,4
KIORdYoE-TXgM,23,116000,Rent,7,Education,A,11000,8.94,0,0.09,N,2
5YrELZft-5r1b,31,30000,Rent,0,Debtconsolidation,B,3000,10.08,1,0.1,N,10
wzGtUREg-FXTz,23,87200,Mortgage,0,Venture,A,10000,6.92,0,0.11,N,3
k1vsiqXQ-gQxc,24,49200,Rent,2,Medical,D,6400,NULL,1,0.13,N,3
t15upOga-24fW,27,49200,Mortgage,4,Homeimprovement,A,2500,5.42,0,0.05,N,10
STNrm7cp-XJyt,30,49000,Rent,14,Medical,B,1800,11.71,0,0.04,N,5
MrnCt6gO-A62r,26,117000,Mortgage,8,Education,A,6000,7.51,0,0.05,N,3
5ZNDyihC-zSYh,26,85000,Mortgage,NULL,Debtconsolidation,B,6000,9.88,0,0.07,N,2
lZiKtxzs-SJdm,22,69500,Mortgage,NULL,Venture,C,12000,12.42,0,0.34,,3
5M5uIwW2-7m6X,26,90000,Rent,2,Personal,A,10000,7.49,0,0.11,N,4
7ap3cni0-lGD5,28,78000,Mortgage,11,Debtconsolidation,E,12000,16.95,1,0.15,Y,7
HpaXX5mF-60tT,23,100000,Mortgage,7,Education,A,15000,7.88,0,0.15,N,4
bWYCDHZb-xmAv,42,66500,Rent,8,Venture,B,6000,10.25,0,0.09,N,15
QuGM0O8t-kWfQ,NULL,52000,Mortgage,NULL,Venture,A,10000,13.98,0,0.26,N,4
bnhIqUr4-qmB5,21,47000,Mortgage,2,Medical,A,5400,8.9,0,0.11,N,3
F9AvOX6a-koPL,25,94000,Mortgage,1,Venture,E,25000,NULL,1,0.27,Y,2
i3LtQWbM-SBGg,28,45996,Other,12,Venture,B,5500,10.2,0,0.12,N,10
jv2lcel5-wFXt,29,47133,Rent,5,Medical,B,5100,11.86,0,0.11,N,7
NWqtOX6J-WKjI,29,28000,Rent,9,Medical,A,13200,6.17,1,0.47,N,10
GTYPm82K-x14d,31,36000,Rent,2,,D,2000,NULL,0,NULL,N,2
IcXIOTZr-GpMJ,28,70000,Own,4,Personal,D,25000,15.57,0,0.36,N,9
u03tbyFD-kivI,21,53000,Mortgage,5,Venture,C,18000,13.8,0,0.34,Y,3
kmpD3mtk-Jt4b,30,34000,Rent,1,Medical,A,8000,7.9,1,0.24,N,5
ztJ4nbfj-Kh5S,22,60000,Rent,3,Debtconsolidation,B,9000,11.86,0,0.15,N,4
9JGwj6NM-eZBR,22,46610,Rent,6,Debtconsolidation,B,18000,10.71,1,0.39,N,3
QfXlZJDz-aFpW,24,33198,Rent,3,Medical,C,7000,14.27,1,0.21,N,3
PXTr26Xt-JIM8,23,95000,Rent,7,Venture,D,15000,15.05,0,0.16,Y,2
LNROm8oC-IFHZ,22,60000,Mortgage,5,Debtconsolidation,A,8000,6.99,0,0.13,N,4
lJfpgiGi-cmpJ,32,48000,Mortgage,8,Homeimprovement,A,5200,5.42,0,0.11,N,5
y5zEGzfS-WZ6q,26,62000,Rent,7,Personal,C,8000,12.99,0,0.13,N,4
zsvkpIMd-9wRz,32,44400,Rent,5,Venture,D,15000,16.49,1,0.34,Y,5
eafTwqn5-BzkR,30,15000,Rent,2,Homeimprovement,D,4000,13.67,1,0.27,Y,7
YbTzorxm-nZx0,36,135000,Rent,0,,,6000,10.99,0,0.04,N,14
RnBoZp1y-UDjp,25,57000,Rent,5,Personal,A,NULL,NULL,0,NULL,N,2
edeuf09b-MBL8,24,13000,Rent,0,Debtconsolidation,A,5000,8,1,0.38,N,2
Q20g7v5Y-7AxZ,24,91000,Mortgage,5,Medical,A,15000,7.88,0,0.16,N,4
XebsNpmm-vipC,25,32760,Mortgage,6,Venture,B,6000,10.59,0,0.18,N,2
oidfk20S-Do8e,25,41000,Rent,1,Personal,D,4000,14.84,1,0.1,Y,4
Xx2N6tGG-GoP6,26,62500,Mortgage,9,Medical,B,8000,11.49,0,0.13,N,2
L5Qz9DLq-aby4,26,110000,Mortgage,4,Venture,B,5000,9.63,0,0.05,N,2
TQL7MCGi-EIt6,25,97000,Mortgage,9,Personal,C,8000,NULL,0,0.08,N,4
kzZC0Z3n-8osk,40,142000,Mortgage,8,Venture,B,15000,10.99,0,0.11,N,14
RvftQL8e-JEq9,26,48000,Rent,5,Medical,A,7000,5.79,0,0.15,N,3
wOx2HZCp-52cq,23,31200,Own,7,Education,B,6000,10.37,0,0.19,N,3
I30KHL8X-BglH,23,57750,Rent,3,,A,9000,10,0,NULL,N,3
nXQA8ERo-GE4p,25,63128,Rent,NULL,Venture,A,1500,7.49,0,0.02,N,4
jnmv69oK-5GeR,27,36000,Rent,3,Medical,B,5800,12.42,0,0.16,N,10
jXU55JAq-EGz3,28,59000,Rent,2,Debtconsolidation,C,5000,15.23,1,0.08,N,6
xe8cAqMf-e4bN,28,95000,Mortgage,5,Debtconsolidation,A,23450,7.9,0,0.25,N,5
LSLOxBFc-s1la,28,36000,Mortgage,5,Medical,E,15450,NULL,1,0.43,N,8
bo3nU6BD-Ahke,29,130000,Mortgage,5,Education,A,24800,7.49,0,0.19,N,10
b2U2zhMP-lPDc,22,30000,Mortgage,0,Venture,B,5000,11.48,0,0.17,N,4
hupCQ7Fj-1BtZ,22,74000,Mortgage,6,Education,A,10000,7.88,0,0.14,N,2
bcj1dbNy-4jfW,32,29962,Rent,4,Medical,B,8000,12.53,0,0.27,N,7
JOdQWEJR-5uwq,29,40000,Rent,7,Personal,A,11450,8.49,0,0.29,N,5
zIsPnOX2-2r8O,26,14400,Rent,2,Debtconsolidation,D,2000,15.58,1,0.14,N,4
t4q1Pjei-6N8m,25,45000,Mortgage,9,Homeimprovement,B,3000,9.99,0,0.07,N,4
I7eFW3n4-ecyA,44,72061,Mortgage,8,Venture,C,4200,14.17,0,0.06,Y,14
aOrJSaOH-WcB1,37,60000,Rent,1,Venture,D,10000,15.99,1,0.17,Y,14
FdPJAuTl-k3K2,27,71000,Own,0,Venture,E,5000,17.39,1,0.07,N,9
jWsc286C-gKAL,27,34928,Rent,1,Homeimprovement,E,11500,16,1,0.33,N,5
rPZejxLe-MwwS,37,108000,Rent,0,Homeimprovement,E,20000,16.32,1,0.19,N,15
HidjIRrH-0tWe,26,35000,Rent,5,Venture,C,13225,13.49,1,0.38,Y,3
cgZ036HK-DMmd,24,95000,Mortgage,7,Debtconsolidation,B,15000,12.69,0,0.16,N,3
jEhyjJDB-LWwQ,26,120000,Mortgage,8,Education,B,25000,9.76,0,0.21,N,3
H59mhwga-zLWw,22,85000,Mortgage,0,Venture,A,12800,6.54,0,0.15,N,3
HHZc50qm-jZNs,23,54000,Rent,3,Debtconsolidation,A,6250,6.99,0,0.12,N,3
YF9ua4Hc-9rXa,24,54000,Rent,6,Debtconsolidation,A,16000,NULL,0,0.3,N,4
p8FX7wM4-CA7K,24,110004,Rent,5,Medical,A,14000,7.88,0,0.13,N,2
UzaOLIAC-TBGM,34,41979,Mortgage,14,Education,C,8150,15.23,0,0.19,N,10
v0UWRWTT-Wy6B,23,72000,Mortgage,7,Venture,A,9000,6.76,0,0.13,N,2
6BLAOGRf-g69l,27,18600,Rent,4,Medical,B,1850,NULL,0,0.1,N,8
xwu8ZxcE-bQTA,40,71599,Rent,0,Personal,A,6000,9.63,0,0.08,N,14
bFQr2Iol-xfKa,29,8472,Rent,2,Personal,A,3000,7.49,1,0.35,N,7
lzSzzCvU-vJML,23,NULL,Mortgage,7,Debtconsolidation,A,20000,NULL,0,0.12,N,13
xSNsw84f-NdXq,26,72000,Mortgage,7,Venture,B,16000,10.59,0,0.22,N,3
6YA8BCW6-7hIk,26,33800,Mortgage,9,Venture,A,14400,7.88,0,0.43,N,3
gb6sA6y7-Ko0K,33,18720,Own,0,Debtconsolidation,C,3500,13.16,1,0.19,Y,6
jityqlkQ-FBvG,34,126000,Mortgage,2,Homeimprovement,B,9600,11.49,0,0.08,N,10
vUhrPpZi-v87I,21,32000,Rent,6,Medical,D,12000,NULL,1,0.38,Y,2
X4CJSie9-3Qy6,29,210000,Mortgage,2,Medical,B,14000,12.42,0,0.07,N,6
7NHTnhPS-57es,26,67000,Mortgage,2,Debtconsolidation,D,6500,14.11,1,0.1,Y,2
mTKkjcgm-YhsE,24,135000,Mortgage,3,Venture,B,21000,10.38,0,0.16,N,4
lWZJjl5M-iCXZ,23,78000,Mortgage,7,Education,B,1000,9.88,0,0.01,N,3
HEY5j39n-jXjl,27,33267,Mortgage,5,Homeimprovement,B,3200,12.18,0,0.1,N,6
hrPMPddz-CM1L,23,78000,Rent,5,Venture,D,3000,16.89,0,0.04,N,3
JFBS4OHc-KYdg,25,100000,Mortgage,9,Homeimprovement,B,17600,10.59,0,0.18,N,2
OoeIkKCz-8mfe,23,57600,Mortgage,NULL,Debtconsolidation,A,10000,6.03,0,0.17,N,4
6LsEmwPi-svgj,NULL,54000,Rent,2,Venture,,6000,6.76,0,0.05,N,3
Pgsjs1ZW-womw,42,57996,,26,Venture,A,10000,13.57,0,NULL,N,3
86ZqvJLd-L3DN,32,29500,Mortgage,4,Debtconsolidation,B,7000,10,1,0.24,N,9
wSyK7HA8-TMNa,41,45840,Rent,5,Personal,B,4600,10.99,0,0.1,N,16
nAOQkyts-on0C,26,32000,Rent,3,Debtconsolidation,A,5000,7.49,0,0.16,N,2
INoi5trz-ucZe,31,73000,Rent,8,Education,E,35000,19.29,1,0.48,Y,10
jqFBRQmF-RMxH,23,55000,Rent,0,Venture,C,12300,NULL,0,0.22,N,4
a2OxqPeS-hsso,32,30000,Mortgage,2,Education,D,6000,15.31,0,0.2,Y,8
mZtpRp44-3L3l,23,31000,Rent,4,Debtconsolidation,D,7200,14.54,1,0.23,N,3
KagJaP3z-7j62,NULL,67000,Mortgage,NULL,Education,D,3100,10.59,1,0.1,N,9
bb8OaK9a-I4fa,23,36000,Mortgage,7,Debtconsolidation,C,15800,13.72,0,0.44,Y,4
egYX98kp-611s,22,52000,Mortgage,6,Personal,D,10000,13.87,1,0.19,Y,4
mtXMAwrn-kcTO,25,60000,Rent,3,Homeimprovement,A,10250,6.62,0,0.17,N,4
